"","DBN","School Name","Year","NumTested","MeanScaleScore","Level1p","Level2p","Level3p","Level4p","Level34p","SchoolYear","LocationName","NumStudents","NumSchools","SchoolsInBuilding","MajorN","OthN","NoCrimN","PropN","VioN","GroupNameOfPop","BuildingPop","AvgMajor","AvgOth","AvgNoCrim","AvgPop","AvgVio","BoroughName","Postcode","Latitude","Longitude","CommunityBoard","CouncilDistrict","Census Tract.x","BIN.x","BBL.x","NTA","GroupNameofPop.y","BuildingPopulation.y","BIN.y","BBL.y","totCrime"
"46","02M131","M.S. 131",2015,392,318,"20.4","26.3","25.8","27.6","53.3","2015","M.S. 131",406,3,"M.S. 131 |  Pace High School |  EMMA LAZARUS HIGH SCHOOL |  100 HESTER STREET CONSOLIDATED LOCATION",0,4,2,2,1,"3C","251-500","0.48","2.19","3.69","1.29","1","MANHATTAN",10002,40.716553,-73.993092,3,1,16,1082489,1003010003,"Chinatown","6C","1001-1250",1082489,1003010003,9
"47","02M150","P.S. 150",2015,80,336,"5","23.8","30","41.3","71.3","2015","P.S. 150",184,1,"P.S. 150",0,0,0,0,0,"2C","1-250","0.36","0.76","1.17","0.64","0.37","MANHATTAN",10013,40.718219,-74.010519,1,1,39,1083240,1001420025,"SoHo-TriBeCa-Civic Center-Little Italy",NA,NA,NA,NA,0
"48","02M151","YORKVILLE COMMUNITY SCHOOL",2015,275,323,"14.5","24","29.5","32","61.5","2015","Yorkville Community School",572,1,"Yorkville Community School",0,0,0,0,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","MANHATTAN",10128,40.777911,-73.947757,8,5,14402,1050618,1015680008,"Yorkville",NA,NA,NA,NA,0
"49","02M158","P.S. 158 BAYARD TAYLOR",2015,293,347,"1.7","11.3","31.4","55.6","87","2015","P.S. 158 Bayard Taylor",761,2,"P.S. 158 Bayard Taylor | Yorkville East Middle School | 1458 YORK AVENUE  CONSOLIDATED LOCATION",0,0,0,0,0,"5C","751-1000","0.46","1.65","2.77","1.17","0.75","MANHATTAN",10075,40.770419,-73.951135,8,5,132,1046411,1014890001,"Lenox Hill-Roosevelt Island","5C","751-1000",1046411,1014890001,0
"50","02M167","J.H.S. 167 ROBERT F. WAGNER",2015,1171,329,"11.2","25.6","27.7","35.5","63.2","2015","J.H.S. 167 Robert F. Wagner",1364,1,"J.H.S. 167 Robert F. Wagner",1,1,4,0,1,"7C","1251-1500","0.89","3.22","5.07","2.18","1.64","MANHATTAN",10021,40.77205,-73.958066,8,4,134,1044058,1014300005,"Lenox Hill-Roosevelt Island",NA,NA,NA,NA,7
"51","02M177","YORKVILLE EAST MIDDLE SCHOOL",2015,54,337,"5.6","20.4","25.9","48.1","74.1","2015","Yorkville East Middle School",56,2,"P.S. 158 Bayard Taylor | Yorkville East Middle School | 1458 YORK AVENUE  CONSOLIDATED LOCATION",0,0,0,0,0,"2C","1-250","0.46","1.65","2.77","1.17","0.75","MANHATTAN",10075,40.770419,-73.951135,8,5,132,1046411,1014890001,"Lenox Hill-Roosevelt Island","5C","751-1000",1046411,1014890001,0
"52","02M183","P.S. 183 ROBERT L. STEVENSON",2015,280,332,"10.7","16.1","30.7","42.5","73.2","2015","P.S. 183 Robert L. Stevenson",595,1,"P.S. 183 Robert L. Stevenson",0,0,0,0,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","MANHATTAN",10065,40.763736,-73.95815,8,5,116,1045569,1014610007,"Lenox Hill-Roosevelt Island",NA,NA,NA,NA,0
"53","02M198","P.S. 198 ISADOR E. IDA STRAUS",2015,209,314,"25.4","26.8","15.8","32.1","47.8","2015","P.S. 198 Isador E. Ida Straus",462,2,"P.S. 77 Lower Lab School |  P.S. 198 Isador E. Ida Straus |  1700 3 AVENUE CONSOLIDATED LOCATION",0,0,1,0,0,"3C","251-500","0.46","1.65","2.77","1.17","0.75","MANHATTAN",10128,40.784826,-73.949611,8,5,15801,1048492,1015240023,"Upper East Side-Carnegie Hill","5C","751-1000",1048492,1015240023,1
"54","02M212","P.S. 212 MIDTOWN WEST",2015,165,334,"4.8","22.4","29.1","43.6","72.7","2015","P.S. 212 Midtown West",361,2,"P.S. 212 Midtown West |  Professional Performing Arts High School |  328 WEST  48 STREET CONSOLIDATED LOCATION",0,3,3,3,0,"3C","251-500","0.46","1.65","2.77","1.17","0.75","MANHATTAN",10036,40.761448,-73.988019,4,3,127,1025092,1010380014,"Clinton","5C","751-1000",1025092,1010380014,9
"55","02M217","P.S./I.S. 217 ROOSEVELT ISLAND",2015,213,317,"17.4","30.5","26.3","25.8","52.1","2015","P.S./I.S. 217 Roosevelt Island",536,1,"P.S./I.S. 217 Roosevelt Island",0,0,1,0,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","MANHATTAN",10044,40.763894,-73.947916,8,5,23802,1084848,1013730001,"Lenox Hill-Roosevelt Island",NA,NA,NA,NA,1
