"","DBN","School Name","Year","NumTested","MeanScaleScore","Level1p","Level2p","Level3p","Level4p","Level34p","SchoolYear","LocationName","NumStudents","NumSchools","SchoolsInBuilding","MajorN","OthN","NoCrimN","PropN","VioN","GroupNameOfPop","BuildingPop","AvgMajor","AvgOth","AvgNoCrim","AvgPop","AvgVio","BoroughName","Postcode","Latitude","Longitude","CommunityBoard","CouncilDistrict","Census Tract.x","BIN.x","BBL.x","NTA","GroupNameofPop.y","BuildingPopulation.y","BIN.y","BBL.y","totCrime"
"264","08X467","MOTT HALL COMMUNITY SCHOOL",2015,170,277,"60.6","27.6","10","1.8","11.8","2015","Mott Hall Community School",225,4,"Urban Assembly Academy of Civic Engagement| Urban Institute of Mathematics| Bronx Delta School| Mott Hall Community School| 650 HOLLYWOOD AVENUE CONSOLIDATED LOCATION",0,3,5,1,1,"2C","1-250","0.46","1.65","2.77","1.17","0.75","BRONX",10465,40.826526,-73.818417,10,13,158,2077130,2054380001,"Schuylerville-Throgs Neck-Edgewater Park","5C","751-1000",2077130,2054380001,10
"265","08X562","BLUEPRINT MIDDLE SCHOOL",2015,281,280,"56.2","33.8","7.8","2.1","10","2015","Blueprint Middle School",306,2,"J.H.S. 125 Henry Hudson |  Blueprint Middle School |  1111 PUGSLEY AVENUE CONSOLIDATED LOCATION",2,7,8,3,5,"3C","251- 500","0.31","1.12","1.82","0.79","0.51","BRONX",10472,40.829232,-73.856734,9,18,4001,2025717,2037900040,"Soundview-Bruckner","4C","501-750",2025717,2037900040,25
"266","09X004","P.S./M.S. 004 CROTONA PARK WEST",2015,309,292,"40.1","36.9","15.9","7.1","23","2015","P.S./M.S. 004 Crotona Park West",548,3,"P.S./M.S. 004 Crotona Park West |  Leadership Institute |  Icahn Charter School 6 |  1701 FULTON AVENUE CONSOLIDATED LOCATION",2,1,5,2,1,"4C","501-750","0.46","1.65","2.77","1.17","0.75","BRONX",10457,40.840891,-73.898166,3,15,165,2009659,2029300001,"Claremont-Bathgate","5C","751-1000",2009659,2029300001,11
"267","09X011","P.S. 011 HIGHBRIDGE",2015,368,288,"45.7","37.5","14.4","2.4","16.8","2015","P.S. 011 Highbridge",739,1,"P.S. 011 Highbridge",0,0,2,0,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","BRONX",10452,40.839378,-73.925714,4,16,201,2003519,2025290081,"Highbridge",NA,NA,NA,NA,2
"268","09X022","J.H.S. 022 JORDAN L. MOTT",2015,444,263,"77.7","19.4","2.5","0.5","2.9","2015","J.H.S. 022 Jordan L. Mott",487,2,"J.H.S. 022 Jordan L. Mott |  Bronx Writing Academy |  270 EAST 167 STREET CONSOLIDATED LOCATION",2,0,13,1,1,"3C","251-500","0.46","1.65","2.77","1.17","0.75","BRONX",10456,40.833131,-73.914027,4,16,175,2002410,2024380050,"East Concourse-Concourse Village","5C","751-1000",2002410,2024380050,17
"269","09X028","P.S. 028 MOUNT HOPE",2015,315,291,"40.6","34.9","16.8","7.6","24.4","2015","P.S. 028 Mount Hope",740,1,"P.S. 028 Mount Hope",0,0,1,0,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","BRONX",10457,40.848057,-73.903522,5,15,23302,2007603,2028040031,"Mount Hope",NA,NA,NA,NA,1
"270","09X035","P.S. 035 FRANZ SIEGEL",2015,328,293,"37.5","36","20.7","5.8","26.5","2015","P.S. 035 Franz Siegel",710,1,"P.S. 035 Franz Siegel",1,1,1,2,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","BRONX",10451,40.827304,-73.91767,4,16,18302,2101573,2024460043,"East Concourse-Concourse Village",NA,NA,NA,NA,5
"271","09X042","P.S. 042 CLAREMONT",2015,193,283,"52.8","29","12.4","5.7","18.1","2015","P.S. 042 Claremont",453,1,"P.S. 042 Claremont",0,0,0,0,0,"3C","251-500","0.27","1.11","1.38","0.8","0.48","BRONX",10457,40.838288,-73.902987,3,16,169,2009466,2029030023,"Claremont-Bathgate",NA,NA,NA,NA,0
"272","09X053","P.S. 053 BASHEER QUISIM",2015,607,298,"34.1","33.6","22.4","9.9","32.3","2015","P.S. 053 Basheer Quisim",1321,1,"P.S. 053 Basheer Quisim",1,1,2,0,2,"7C","1251-1500","0.89","3.22","5.07","2.18","1.64","BRONX",10456,40.832866,-73.911418,4,16,175,2002299,2024350075,"East Concourse-Concourse Village",NA,NA,NA,NA,6
"273","09X055","P.S. 055 BENJAMIN FRANKLIN",2015,346,277,"55.8","33.5","9.5","1.2","10.7","2015","P.S. 055 Benjamin Franklin",720,1,"P.S. 055 Benjamin Franklin",1,2,1,0,3,"4C","501-750","0.31","1.12","1.82","0.79","0.51","BRONX",10456,40.836404,-73.905014,3,16,14702,2009463,2029020001,"Claremont-Bathgate",NA,NA,NA,NA,7
"274","09X058","P.S. 058",2015,177,285,"50.3","29.9","14.1","5.6","19.8","2015","P.S. 058",488,1,"P.S. 058",0,0,0,0,0,"3C","251-500","0.27","1.11","1.38","0.8","0.48","BRONX",10457,40.846162,-73.899264,6,15,395,2009540,2029090032,"Claremont-Bathgate",NA,NA,NA,NA,0
"275","09X063","P.S. 063 AUTHOR'S ACADEMY",2015,235,297,"33.2","32.8","23","11.1","34","2015","P.S. 063 Author's Academy",599,1,"P.S. 063 Author's Academy",0,5,3,1,2,"4C","501-750","0.31","1.12","1.82","0.79","0.51","BRONX",10456,40.830995,-73.902705,3,16,149,2004302,2026150014,"Morrisania-Melrose",NA,NA,NA,NA,11
"276","09X064","P.S. 064 PURA BELPRE",2015,276,273,"64.5","30.4","4.3","0.7","5.1","2015","P.S. 064 Pura Belpre",285,3,"P.S. 064 Pura Belpre |  The Walton Avenue School |  Lucero Elementary School |  1425 WALTON AVENUE CONSOLIDATED LOCATION",0,0,0,0,0,"3C","251-500","0.46","1.65","2.77","1.17","0.75","BRONX",10452,40.840096,-73.915569,4,16,223,2008098,2028430040,"West Concourse","5C","751-1000",2008098,2028430040,0
"277","09X070","P.S. 070 MAX SCHOENFELD",2015,663,282,"54.8","29.3","11.9","4.1","16","2015","P.S. 070 Max Schoenfeld",1332,1,"P.S. 070 Max Schoenfeld",0,1,2,0,1,"7C","1251-1500","0.89","3.22","5.07","2.18","1.64","BRONX",10457,40.844253,-73.907616,4,15,22902,2007387,2027930028,"Mount Hope",NA,NA,NA,NA,4
"278","09X073","P.S. 073 BRONX",2015,354,275,"61.3","29.1","8.8","0.8","9.6","2015","P.S. 073 Bronx",827,1,"P.S. 073 Bronx",1,0,0,0,1,"5C","751-1000","0.46","1.65","2.77","1.17","0.75","BRONX",10452,40.832706,-73.926838,4,8,189,2003051,2025040082,"Highbridge",NA,NA,NA,NA,2
"279","09X088","P.S. X088 - S. SILVERSTEIN LITTLE SPARROW SCHOOL",2015,36,306,"13.9","58.3","19.4","8.3","27.8","2015","P.S. X088 - S. Silverstein Little Sparrow School",205,1,"P.S. X088 - S. Silverstein Little Sparrow School",1,0,0,0,1,"2C","1-250","0.36","0.76","1.17","0.64","0.37","BRONX",10456,40.837275,-73.913574,4,16,17902,2094533,2028300017,"East Concourse-Concourse Village",NA,NA,NA,NA,2
"280","09X109","P.S. 109 SEDGWICK",2015,391,276,"60.1","25.6","11.8","2.6","14.3","2015","P.S. 109 Sedgwick",812,1,"P.S. 109 Sedgwick",0,0,2,0,0,"5C","751-1000","0.46","1.65","2.77","1.17","0.75","BRONX",10453,40.851414,-73.918533,5,14,20502,2094549,2028770393,"University Heights-Morris Heights",NA,NA,NA,NA,2
"281","09X110","P.S. 110 THEODORE SCHOENFELD",2015,195,290,"45.1","32.8","16.9","5.1","22.1","2015","P.S. 110 Theodore Schoenfeld",481,2,"P.S. 110 Theodore Schoenfeld |  Mott Hall III |  580 CROTONA PARK SOUTH CONSOLIDATED LOCATION",0,2,0,1,0,"3C","251-500","0.46","1.65","2.77","1.17","0.75","BRONX",10456,40.835286,-73.900751,3,16,149,2009718,2029320001,"Morrisania-Melrose","5C","751-1000",2009718,2029320001,3
"282","09X114","P.S. X114 - LUIS LLORENS TORRES SCHOOLS",2015,426,277,"58.9","27.5","10.1","3.5","13.6","2015","P.S. X114 - Luis Llorens Torres Schools",833,1,"P.S. X114 - Luis Llorens Torres Schools",0,0,1,0,0,"5C","751-1000","0.46","1.65","2.77","1.17","0.75","BRONX",10452,40.834749,-73.923081,4,16,63,2003022,2024950100,"West Concourse",NA,NA,NA,NA,1
"283","09X117","I.S. 117 JOSEPH H. WADE",2015,585,268,"72.8","22.1","4.3","0.9","5.1","2015","I.S. 117 Joseph H. Wade",618,2,"I.S. 117 Joseph H. Wade |  Young Women's Leadership School of the Bronx |  1865 MORRIS AVENUE CONSOLIDATED LOCATION",1,1,2,1,1,"4C","501-750","0.46","1.65","2.77","1.17","0.75","BRONX",10453,40.848516,-73.908427,5,14,23301,2007902,2028270001,"Mount Hope","5C","751-1000",2007902,2028270001,6
"284","09X126","P.S. 126 DR MARJORIE H DUNBAR",2015,303,280,"59.1","28.4","11.6","1","12.5","2015","P.S. 126 Dr Marjorie H Dunbar",723,1,"P.S. 126 Dr Marjorie H Dunbar",0,1,2,1,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","BRONX",10452,40.835784,-73.928324,4,16,199,2003495,2025260083,"Highbridge",NA,NA,NA,NA,4
"285","09X128","MOTT HALL III",2015,340,316,"15.6","38.2","27.6","18.5","46.2","2015","Mott Hall III",359,2,"P.S. 110 Theodore Schoenfeld |  Mott Hall III |  580 CROTONA PARK SOUTH CONSOLIDATED LOCATION",0,2,0,1,0,"3C","251-500","0.46","1.65","2.77","1.17","0.75","BRONX",10456,40.835286,-73.900751,3,16,149,2009718,2029320001,"Morrisania-Melrose","5C","751-1000",2009718,2029320001,3
"286","09X132","P.S. 132 GARRET A. MORGAN",2015,214,274,"59.3","28.5","11.2","0.9","12.1","2015","P.S. 132 Garret A. Morgan",487,1,"P.S. 132 Garret A. Morgan",0,3,2,3,0,"3C","251-500","0.27","1.11","1.38","0.8","0.48","BRONX",10456,40.831827,-73.906607,3,16,145,2001619,2023900001,"Claremont-Bathgate",NA,NA,NA,NA,8
"287","09X145","J.H.S. 145 ARTURO TOSCANINI",2015,356,264,"71.3","25.6","2.5","0.6","3.1","2015","J.H.S. 145 Arturo Toscanini",368,3,"J.H.S. 145 Arturo Toscanini|Urban Science Academy|New Millennium Business Academy Middle School|1000 TELLER AVENUE CONSOLIDATED LOCATION",6,13,6,7,12,"3C","251-500","0.46","1.65","2.77","1.17","0.75","BRONX",10456,40.827941,-73.914374,4,16,173,2097111,2024240001,"East Concourse-Concourse Village","5C","751-1000",2097111,2024240001,44
"288","09X163","P.S. 163 ARTHUR A. SCHOMBURG",2015,285,290,"39.6","38.2","18.2","3.9","22.1","2015","P.S. 163 Arthur A. Schomburg",566,1,"P.S. 163 Arthur A. Schomburg",0,0,0,0,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","BRONX",10457,40.851741,-73.898493,5,15,379,2013297,2031420048,"Mount Hope",NA,NA,NA,NA,0
"289","09X199","P.S. 199X - THE SHAKESPEARE SCHOOL",2015,368,283,"53.8","25.8","14.9","5.4","20.4","2015","P.S. 199X - The Shakespeare School",798,1,"P.S. 199X - The Shakespeare School",0,0,0,0,0,"5C","751-1000","0.46","1.65","2.77","1.17","0.75","BRONX",10452,40.842943,-73.920563,4,16,21302,2088263,2028730027,"Highbridge",NA,NA,NA,NA,0
"290","09X204","P.S. 204 MORRIS HEIGHTS",2015,252,302,"27.4","38.5","23.4","10.7","34.1","2015","P.S. 204 Morris Heights",591,1,"P.S. 204 Morris Heights",0,1,0,1,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"291","09X215","KAPPA",2015,212,304,"32.5","33.5","22.6","11.3","34","2015","Kappa",299,3,"Kappa |  I.S. 219 New Venture School |  Frederick Douglass Academy III Secondary School |  3630 THIRD AVENUE CONSOLIDATED LOCATION",1,3,14,2,2,"3C","251-500","0.48","2.19","3.69","1.29","1","BRONX",10456,40.833511,-73.90449,3,16,14701,2009611,2029250001,"Claremont-Bathgate","6C","1001-1250",2009611,2029250001,22
"292","09X218","P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL",2015,545,298,"29.9","45.7","17.1","7.3","24.4","2015","P.S./I.S. 218 Rafael Hernandez Dual Language Magne",960,1,"P.S./I.S. 218 Rafael Hernandez Dual Language Magne",0,0,2,0,0,"5C","751-1000","0.46","1.65","2.77","1.17","0.75","BRONX",10452,40.835847,-73.920026,4,16,197,2097130,2024800008,"West Concourse",NA,NA,NA,NA,2
"293","09X219","I.S. 219 NEW VENTURE SCHOOL",2015,293,261,"77.1","21.8","1","0","1","2015","I.S. 219 New Venture School",326,3,"Kappa |  I.S. 219 New Venture School |  Frederick Douglass Academy III Secondary School |  3630 THIRD AVENUE CONSOLIDATED LOCATION",1,3,14,2,2,"3C","251-500","0.48","2.19","3.69","1.29","1","BRONX",10456,40.833511,-73.90449,3,16,14701,2009611,2029250001,"Claremont-Bathgate","6C","1001-1250",2009611,2029250001,22
"294","09X229","I.S. 229 ROLAND PATTERSON",2015,232,268,"74.1","21.6","3","1.3","4.3","2015","I.S. 229 Roland Patterson",248,3,"I.S. 229 Roland Patterson |  P.S. 230 Dr Roland N. Patterson |  The New American Academy at Roberto Clemente State |  275 HARLEM RIVER PARK BRIDGE CONSOLIDATED LOCATION",1,5,5,1,4,"2C","1-250","0.46","1.65","2.77","1.17","0.75","BRONX",10453,40.852536,-73.921467,5,16,53,2009253,2028820130,"University Heights-Morris Heights","5C","751-1000",2009253,2028820130,16
"295","09X230","P.S. 230 DR ROLAND N. PATTERSON",2015,154,280,"59.7","23.4","14.9","1.9","16.9","2015","P.S. 230 Dr Roland N. Patterson",156,3,"I.S. 229 Roland Patterson |  P.S. 230 Dr Roland N. Patterson |  The New American Academy at Roberto Clemente State |  275 HARLEM RIVER PARK BRIDGE CONSOLIDATED LOCATION",1,5,5,1,4,"2C","1-250","0.46","1.65","2.77","1.17","0.75","BRONX",10453,40.852536,-73.921467,5,16,53,2009253,2028820130,"University Heights-Morris Heights","5C","751-1000",2009253,2028820130,16
"296","09X231","EAGLE ACADEMY FOR YOUNG MEN",2015,175,277,"65.7","31.4","2.3","0.6","2.9","2015","Eagle Academy for Young Men",608,1,"Eagle Academy for Young Men",1,8,7,2,4,"4C","501-750","0.31","1.12","1.82","0.79","0.51","BRONX",10457,40.844958,-73.89705,6,15,395,2117666,2029230018,"Claremont-Bathgate",NA,NA,NA,NA,22
"297","09X232","I.S. 232",2015,455,279,"55.6","37.1","6.8","0.4","7.3","2015","I.S. 232",549,3,"I.S. 232 |  I.S. X303 Leadership & Community Service |  Academy for Language and Technology |  1700 MACOMBS ROAD CONSOLIDATED LOCATION",0,3,8,1,1,"4C","501-750","0.48","2.19","3.69","1.29","1","BRONX",10453,40.849623,-73.91607,5,14,21502,2008460,2028660070,"University Heights-Morris Heights","6C","1001-1250",2008460,2028660070,13
"298","09X236","P.S. 236 LANGSTON HUGHES",2015,205,284,"49.3","30.7","18.5","1.5","20","2015","P.S. 236 Langston Hughes",388,1,"P.S. 236 Langston Hughes",0,0,0,0,0,"3C","251-500","0.27","1.11","1.38","0.8","0.48","BRONX",10453,40.848899,-73.909528,5,14,23301,2098479,2028510021,"Mount Hope",NA,NA,NA,NA,0
"299","09X241","URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",2015,212,293,"38.7","42.9","16","2.4","18.4","2015","Urban Assembly School for Applied Math and Science",619,3,"Urban Assembly School for Applied Math and Science |  Mott Hall Bronx High School |  Validus Preparatory Academy: An Expeditionary Lear |  1595 BATHGATE AVENUE CONSOLIDATED LOCATION",0,8,18,4,2,"4C","501-750","0.89","3.22","5.07","2.18","1.64","BRONX",10457,40.839244,-73.901316,3,16,167,2009555,2029130001,"Claremont-Bathgate","7C","1251-1500",2009555,2029130001,32
"300","09X274","THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK",2015,102,275,"64.7","28.4","4.9","2","6.9","2015","The New American Academy at Roberto Clemente State",506,3,"I.S. 229 Roland Patterson |  P.S. 230 Dr Roland N. Patterson |  The New American Academy at Roberto Clemente State |  275 HARLEM RIVER PARK BRIDGE CONSOLIDATED LOCATION",1,5,5,1,4,"4C","501-750","0.46","1.65","2.77","1.17","0.75","BRONX",10453,40.852536,-73.921467,5,16,53,2009253,2028820130,"University Heights-Morris Heights","5C","751-1000",2009253,2028820130,16
"301","09X294","THE WALTON AVENUE SCHOOL",2015,80,300,"30","33.8","18.8","17.5","36.3","2015","The Walton Avenue School",338,3,"P.S. 064 Pura Belpre |  The Walton Avenue School |  Lucero Elementary School |  1425 WALTON AVENUE CONSOLIDATED LOCATION",0,0,0,0,0,"3C","251-500","0.46","1.65","2.77","1.17","0.75","BRONX",10452,40.840096,-73.915569,4,16,223,2008098,2028430040,"West Concourse","5C","751-1000",2008098,2028430040,0
"302","09X303","I.S. X303 LEADERSHIP & COMMUNITY SERVICE",2015,272,288,"42.3","43.4","11.4","2.9","14.3","2015","I.S. X303 Leadership & Community Service",287,3,"I.S. 232 |  I.S. X303 Leadership & Community Service |  Academy for Language and Technology |  1700 MACOMBS ROAD CONSOLIDATED LOCATION",0,3,8,1,1,"3C","251-500","0.48","2.19","3.69","1.29","1","BRONX",10453,40.849623,-73.91607,5,14,21502,2008460,2028660070,"University Heights-Morris Heights","6C","1001-1250",2008460,2028660070,13
"303","09X311","LUCERO ELEMENTARY SCHOOL",2015,77,271,"68.8","22.1","6.5","2.6","9.1","2015","Lucero Elementary School",234,3,"P.S. 064 Pura Belpre |  The Walton Avenue School |  Lucero Elementary School |  1425 WALTON AVENUE CONSOLIDATED LOCATION",0,0,0,0,0,"2C","1-250","0.46","1.65","2.77","1.17","0.75","BRONX",10452,40.840096,-73.915569,4,16,223,2008098,2028430040,"West Concourse","5C","751-1000",2008098,2028430040,0
"304","09X313","I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT",2015,312,274,"63.5","31.1","5.1","0.3","5.4","2015","I.S. 313 School of Leadership Development",348,2,"I.S. 313 School of Leadership Development |  I.S. 339 |  1600 WEBSTER AVENUE CONSOLIDATED LOCATION",0,4,8,2,2,"3C","251-500","0.46","1.65","2.77","1.17","0.75","BRONX",10457,40.840878,-73.904754,3,16,167,2009400,2028970005,"Claremont-Bathgate","5C","751-1000",2009400,2028970005,16
"305","09X323","BRONX WRITING ACADEMY",2015,431,284,"51.5","37.8","9.3","1.4","10.7","2015","Bronx Writing Academy",460,2,"J.H.S. 022 Jordan L. Mott |  Bronx Writing Academy |  270 EAST 167 STREET CONSOLIDATED LOCATION",2,0,13,1,1,"3C","251-500","0.46","1.65","2.77","1.17","0.75","BRONX",10456,40.833131,-73.914027,4,16,175,2002410,2024380050,"East Concourse-Concourse Village","5C","751-1000",2002410,2024380050,17
"306","09X324","BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING",2015,209,281,"57.9","34","6.2","1.9","8.1","2015","Bronx Early College Academy for Teaching & Learnin",503,3,"Bronx Early College Academy for Teaching & Learnin |  Grant Avenue Elementary School |  Science and Technology Academy: A Mott Hall School |  250 EAST 164 STREET CONSOLIDATED LOCATION",0,2,4,1,1,"4C","501-750","0.89","3.22","5.07","2.18","1.64","BRONX",10456,40.828696,-73.917668,4,16,18302,2002497,2024460043,"East Concourse-Concourse Village","7C","1251-1500",2002497,2024460043,8
"307","09X325","URBAN SCIENCE ACADEMY",2015,317,266,"74.8","22.1","3.2","0","3.2","2015","Urban Science Academy",331,3,"J.H.S. 145 Arturo Toscanini|Urban Science Academy|New Millennium Business Academy Middle School|1000 TELLER AVENUE CONSOLIDATED LOCATION",6,13,6,7,12,"3C","251-500","0.46","1.65","2.77","1.17","0.75","BRONX",10456,40.827941,-73.914374,4,16,173,2097111,2024240001,"East Concourse-Concourse Village","5C","751-1000",2097111,2024240001,44
"308","09X327","COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327",2015,303,319,"14.9","33","30.7","21.5","52.1","2015","Comprehensive Model School Project M.S. 327",628,2,"Comprehensive Model School Project M.S. 327 |  Mount Eden Children's Academy |  1501 JEROME AVENUE CONSOLIDATED LOCATION",0,1,0,0,1,"4C","501-750","0.46","1.65","2.77","1.17","0.75","BRONX",10452,40.842495,-73.916082,4,14,209,2008336,2028590077,"West Concourse","5C","751-1000",2008336,2028590077,2
"309","09X328","NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL",2015,159,269,"62.9","33.3","3.1","0.6","3.8","2015","New Millennium Business Academy Middle School",176,3,"J.H.S. 145 Arturo Toscanini|Urban Science Academy|New Millennium Business Academy Middle School|1000 TELLER AVENUE CONSOLIDATED LOCATION",6,13,6,7,12,"2C","1-250","0.46","1.65","2.77","1.17","0.75","BRONX",10456,40.827941,-73.914374,4,16,173,2097111,2024240001,"East Concourse-Concourse Village","5C","751-1000",2097111,2024240001,44
"310","09X339","I.S. 339",2015,510,272,"66.3","29.8","3.7","0.2","3.9","2015","I.S. 339",555,2,"I.S. 313 School of Leadership Development |  I.S. 339 |  1600 WEBSTER AVENUE CONSOLIDATED LOCATION",0,4,8,2,2,"4C","501-750","0.46","1.65","2.77","1.17","0.75","BRONX",10457,40.840878,-73.904754,3,16,167,2009400,2028970005,"Claremont-Bathgate","5C","751-1000",2009400,2028970005,16
"311","09X350","NEW DIRECTIONS SECONDARY SCHOOL",2015,89,264,"78.7","20.2","0","1.1","1.1","2015","New Directions Secondary School",149,7,"Bronx Collegiate Academy |DreamYard Preparatory School |New Directions Secondary School |Bronx High School of Business |Bronx High School for Medical Science |Jonathan Levin High School for Media and Communica |Claremont International HS |240 EAST 172 STREET CONSOLIDATED LOCATION",3,9,12,0,12,"2C","1-250","1.96","7.74","16.07","5.48","3.44","BRONX",10457,40.840422,-73.91091,4,16,225,2007806,2028170002,"East Concourse-Concourse Village","10C","2001-2500",2007806,2028170002,36
"312","09X361","THE HIGHBRIDGE GREEN SCHOOL",2015,255,282,"54.1","39.2","5.1","1.6","6.7","2015","The Highbridge Green School",269,1,"The Highbridge Green School",0,0,0,0,0,"3C","251- 500","0.27","1.11","1.38","0.8","0.48","BRONX",10452,40.838224,-73.927891,4,16,193,2117349,2025270058,"Highbridge",NA,NA,NA,NA,0
"313","09X413","BRONX HIGH SCHOOL FOR MEDICAL SCIENCE",2015,164,300,"30.5","41.5","23.8","4.3","28","2015","Bronx High School for Medical Science",472,7,"Bronx Collegiate Academy |DreamYard Preparatory School |New Directions Secondary School |Bronx High School of Business |Bronx High School for Medical Science |Jonathan Levin High School for Media and Communica |Claremont International HS |240 EAST 172 STREET CONSOLIDATED LOCATION",3,9,12,0,12,"3C","251-500","1.96","7.74","16.07","5.48","3.44","BRONX",10457,40.840422,-73.91091,4,16,225,2007806,2028170002,"East Concourse-Concourse Village","10C","2001-2500",2007806,2028170002,36
"314","09X443","THE FAMILY SCHOOL",2015,246,281,"51.2","35.8","9.8","3.3","13","2015","The Family School",525,2,"The Family School |  Sheridan Academy for Young Leaders |  1116 SHERIDAN AVENUE CONSOLIDATED LOCATION",0,1,4,1,0,"4C","501-750","0.48","2.19","3.69","1.29","1","BRONX",10456,40.831992,-73.91796,4,16,18102,2002745,2024560100,"East Concourse-Concourse Village","6C","1001-1250",2002745,2024560100,6
"315","09X449","GRANT AVENUE ELEMENTARY SCHOOL",2015,195,281,"47.7","40","10.3","2.1","12.3","2015","Grant Avenue Elementary School",477,3,"Bronx Early College Academy for Teaching & Learnin |  Grant Avenue Elementary School |  Science and Technology Academy: A Mott Hall School |  250 EAST 164 STREET CONSOLIDATED LOCATION",0,2,4,1,1,"3C","251-500","0.89","3.22","5.07","2.18","1.64","BRONX",10456,40.828696,-73.917668,4,16,18302,2002497,2024460043,"East Concourse-Concourse Village","7C","1251-1500",2002497,2024460043,8
"316","09X454","SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL",2015,429,306,"24.9","40.1","22.8","12.1","35","2015","Science and Technology Academy: A Mott Hall School",445,3,"Bronx Early College Academy for Teaching & Learnin |  Grant Avenue Elementary School |  Science and Technology Academy: A Mott Hall School |  250 EAST 164 STREET CONSOLIDATED LOCATION",0,2,4,1,1,"3C","251-500","0.89","3.22","5.07","2.18","1.64","BRONX",10456,40.828696,-73.917668,4,16,18302,2002497,2024460043,"East Concourse-Concourse Village","7C","1251-1500",2002497,2024460043,8
"317","09X457","SHERIDAN ACADEMY FOR YOUNG LEADERS",2015,267,287,"42.7","38.2","14.2","4.9","19.1","2015","Sheridan Academy for Young Leaders",597,2,"The Family School |  Sheridan Academy for Young Leaders |  1116 SHERIDAN AVENUE CONSOLIDATED LOCATION",0,1,4,1,0,"4C","501-750","0.48","2.19","3.69","1.29","1","BRONX",10456,40.831992,-73.91796,4,16,18102,2002745,2024560100,"East Concourse-Concourse Village","6C","1001-1250",2002745,2024560100,6
"318","09X505","BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",2015,263,309,"22.1","40.7","24","13.3","37.3","2015","Bronx School for Law, Government and Justice",778,1,"Bronx School for Law, Government and Justice",1,4,7,3,0,"5C","751-1000","0.46","1.65","2.77","1.17","0.75","BRONX",10451,40.827607,-73.918681,4,16,18302,2109459,2024450006,"East Concourse-Concourse Village",NA,NA,NA,NA,15
"319","09X555","MOUNT EDEN CHILDREN'S ACADEMY",2015,57,310,"17.5","33.3","36.8","12.3","49.1","2015","Mount Eden Children's Academy",272,2,"Comprehensive Model School Project M.S. 327 |  Mount Eden Children's Academy |  1501 JEROME AVENUE CONSOLIDATED LOCATION",0,1,0,0,1,"3C","251- 500","0.46","1.65","2.77","1.17","0.75","BRONX",10452,40.842495,-73.916082,4,14,209,2008336,2028590077,"West Concourse","5C","751-1000",2008336,2028590077,2
"320","09X568","YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX",2015,218,315,"11","47.2","30.3","11.5","41.7","2015","Young Women's Leadership School of the Bronx",252,2,"I.S. 117 Joseph H. Wade |  Young Women's Leadership School of the Bronx |  1865 MORRIS AVENUE CONSOLIDATED LOCATION",1,1,2,1,1,"3C","251- 500","0.46","1.65","2.77","1.17","0.75","BRONX",10453,40.848516,-73.908427,5,14,23301,2007902,2028270001,"Mount Hope","5C","751-1000",2007902,2028270001,6
"321","10X003","P.S. 3 RAUL JULIA MICRO SOCIETY",2015,134,302,"26.9","47","18.7","7.5","26.1","2015","P.S. 3 Raul Julia Micro Society",337,1,"P.S. 3 Raul Julia Micro Society",1,1,0,2,0,"3C","251-500","0.27","1.11","1.38","0.8","0.48","BRONX",10457,40.849897,-73.892289,6,15,37504,2099356,2030620043,"East Tremont",NA,NA,NA,NA,4
"322","10X007","MILTON FEIN SCHOOL",2015,469,314,"21.7","31.1","23","24.1","47.1","2015","Milton Fein School",728,1,"Milton Fein School",1,0,2,0,1,"4C","501-750","0.31","1.12","1.82","0.79","0.51","BRONX",10463,40.881066,-73.905366,8,11,287,2083564,2057560195,"Spuyten Duyvil-Kingsbridge",NA,NA,NA,NA,4
"323","10X008","P.S. 008 ISSAC VARIAN",2015,518,301,"31.5","34","23.2","11.4","34.6","2015","P.S. 008 Issac Varian",1129,1,"P.S. 008 Issac Varian",1,3,1,4,0,"6C","1001-1250","0.48","2.19","3.69","1.29","1","BRONX",10458,40.872612,-73.883574,7,11,415,2094734,2032990060,"Bedford Park-Fordham North",NA,NA,NA,NA,9
