"","DBN","School Name","Year","NumTested","MeanScaleScore","Level1p","Level2p","Level3p","Level4p","Level34p","LocationName","NumStudents","NumSchools","SchoolsInBuilding","MajorN","OthN","NoCrimN","PropN","VioN","GroupNameOfPop","BuildingPop","AvgMajor","AvgOth","AvgNoCrim","AvgPop","AvgVio","BoroughName","Postcode","Latitude","Longitude","CommunityBoard","CouncilDistrict","Census Tract.x","BIN.x","BBL.x","NTA","GroupNameofPop.y","BuildingPopulation.y","BIN.y","BBL.y","totCrime"
"2009","26Q205","P.S. 205 ALEXANDER GRAHAM BELL",2015,139,349,"4.3","12.9","16.5","66.2","82.7","P.S. 205 Alexander Graham Bell",321,1,"P.S. 205 Alexander Graham Bell",0,0,1,0,0,"3C","251-500","0.27","1.11","1.38","0.8","0.48","QUEENS",11364,40.737678,-73.756791,11,23,129103,4164007,4077530001,"Oakland Gardens",NA,NA,NA,NA,1
"2010","26Q213","P.S. 213 THE CARL ULLMAN SCHOOL",2015,170,333,"8.8","18.8","30.6","41.8","72.4","P.S. 213 The Carl Ullman School",453,1,"P.S. 213 The Carl Ullman School",0,0,0,0,0,"3C","251-500","0.27","1.11","1.38","0.8","0.48","QUEENS",11364,40.747747,-73.745747,11,23,1377,4163698,4076770001,"Oakland Gardens",NA,NA,NA,NA,0
"2011","26Q216","J.H.S. 216 GEORGE J. RYAN",2015,1171,331,"7.2","27.5","31.3","34.1","65.3","J.H.S. 216 George J. Ryan",1381,1,"J.H.S. 216 George J. Ryan",0,1,2,1,0,"7C","1251-1500","0.89","3.22","5.07","2.18","1.64","QUEENS",11365,40.737517,-73.794031,8,24,1341,4149078,4069030001,"Fresh Meadows-Utopia",NA,NA,NA,NA,4
"2012","26Q221","P.S. 221 THE NORTH HILLS SCHOOL",2015,314,342,"4.8","11.8","32.8","50.6","83.4","P.S. 221 The North Hills School",641,1,"P.S. 221 The North Hills School",0,0,0,0,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","QUEENS",11362,40.759404,-73.731299,11,23,152901,4171759,4082760620,"Douglas Manor-Douglaston-Little Neck",NA,NA,NA,NA,0
"2013","26Q266","P.S. / I.S. 266",2015,432,330,"5.3","28.2","33.6","32.9","66.4","P.S. / I.S. 266",689,1,"P.S. / I.S. 266",0,0,1,0,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","QUEENS",11426,40.746231,-73.727614,13,23,1567,4529900,4078700074,"Bellerose",NA,NA,NA,NA,1
"2014","27Q042","P.S./M.S 042 R. VERNAM",2015,361,266,"74.2","21.1","3.6","1.1","4.7","P.S./M.S 042 R. Vernam",684,1,"P.S./M.S 042 R. Vernam",0,6,10,4,1,"4C","501-750","0.31","1.12","1.82","0.79","0.51","QUEENS",11692,40.594538,-73.795304,14,31,964,4302817,4160390014,"Hammels-Arverne-Edgemere",NA,NA,NA,NA,21
"2015","27Q043","P.S. 043",2015,548,285,"50.2","32.1","13.9","3.8","17.7","P.S. 043",994,1,"P.S. 043",1,0,5,0,1,"5C","751-1000","0.46","1.65","2.77","1.17","0.75","QUEENS",11691,40.593834,-73.76174,14,31,99802,4467711,4158200001,"Far Rockaway-Bayswater",NA,NA,NA,NA,7
"2016","27Q045","P.S. 045 CLARENCE WITHERSPOON",2015,184,292,"39.1","34.8","19.6","6.5","26.1","P.S. 045 Clarence Witherspoon",390,1,"P.S. 045 Clarence Witherspoon",0,1,0,1,0,"3C","251-500","0.27","1.11","1.38","0.8","0.48","QUEENS",11436,40.672727,-73.788164,12,28,788,4262725,4121040001,"Baisley Park",NA,NA,NA,NA,2
"2017","27Q047","P.S. 047 CHRIS GALAS",2015,116,325,"6.9","35.3","34.5","23.3","57.8","P.S. 047 Chris Galas",217,1,"P.S. 047 Chris Galas",0,0,0,0,0,"2C","1-250","0.36","0.76","1.17","0.64","0.37","QUEENS",11693,40.606353,-73.820445,14,32,107201,4448968,4153130485,"Breezy Point-Belle Harbor-Rockaway Park-Broad Channel",NA,NA,NA,NA,0
"2018","27Q053","M.S. 053 BRIAN PICCOLO",2015,341,270,"69.5","24.9","4.7","0.9","5.6","M.S. 053 Brian Piccolo",356,2,"M.S. 053 Brian Piccolo|  VILLAGE ACADEMY|  ALC - MS 53|  10-45 NAMEOKE STREET CONSOLIDATED LOCATION",1,1,5,2,0,"3C","251-500","0.31","1.12","1.82","0.79","0.51","QUEENS",11691,40.603622,-73.749097,14,31,103202,4298234,4155570025,"Far Rockaway-Bayswater","4C","501-750",4298234,4155570025,9
"2019","27Q056","P.S. 056 HARRY EICHLER",2015,307,306,"25.4","31.9","30.3","12.4","42.7","P.S. 056 Harry Eichler",413,1,"P.S. 056 Harry Eichler",0,0,0,0,0,"3C","251-500","0.27","1.11","1.38","0.8","0.48","QUEENS",11418,40.69919,-73.835299,9,32,130,4192689,4092260057,"Richmond Hill",NA,NA,NA,NA,0
"2020","27Q060","P.S. 060 WOODHAVEN",2015,550,322,"12","26.2","36.2","25.6","61.8","P.S. 060 Woodhaven",1232,1,"P.S. 060 Woodhaven",0,0,0,0,0,"6C","1001-1250","0.48","2.19","3.69","1.29","1","QUEENS",11421,40.692179,-73.852636,9,32,18,4184144,4089290058,"Woodhaven",NA,NA,NA,NA,0
"2021","27Q062","P. S. 62 - CHESTER PARK SCHOOL",2015,437,302,"30.7","32","24","13.3","37.3","P. S. 62 - Chester Park School",927,1,"P. S. 62 - Chester Park School",1,1,0,2,0,"5C","751-1000","0.46","1.65","2.77","1.17","0.75","QUEENS",11419,40.68867,-73.836205,9,28,110,4197909,4094100001,"Richmond Hill",NA,NA,NA,NA,4
"2022","27Q063","P.S. 063 OLD SOUTH",2015,666,314,"17.9","32.1","29.9","20.1","50","P.S. 063 Old South",1360,1,"P.S. 063 Old South",0,0,0,0,0,"7C","1251-1500","0.89","3.22","5.07","2.18","1.64","QUEENS",11417,40.67641,-73.846773,10,32,54,4190727,4091550025,"Ozone Park",NA,NA,NA,NA,0
"2023","27Q064","P.S. 064 JOSEPH P. ADDABBO",2015,330,307,"22.7","36.7","29.7","10.9","40.6","P.S. 064 Joseph P. Addabbo",657,1,"P.S. 064 Joseph P. Addabbo",0,0,0,0,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","QUEENS",11416,40.681172,-73.856918,9,32,42,4188214,4090530014,"Woodhaven",NA,NA,NA,NA,0
"2024","27Q065","P.S. 65 - THE RAYMOND YORK ELEMENTARY SCHOOL",2015,252,308,"21","38.9","29","11.1","40.1","P.S. 65 - The Raymond York Elementary School",505,1,"P.S. 65 - The Raymond York Elementary School",0,0,0,0,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","QUEENS",11417,40.68259,-73.841202,10,32,4002,4438525,4091210011,"Ozone Park",NA,NA,NA,NA,0
"2025","27Q066","P.S. 066 JACQUELINE KENNEDY ONASSIS",2015,248,315,"13.7","37.5","27.8","21","48.8","P.S. 066 Jacqueline Kennedy Onassis",547,1,"P.S. 066 Jacqueline Kennedy Onassis",0,1,0,1,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","QUEENS",11418,40.697836,-73.846558,9,32,24,4191497,4091830001,"Richmond Hill",NA,NA,NA,NA,2
"2026","27Q090","P.S. 090 HORACE MANN",2015,373,310,"20.6","33.8","28.2","17.4","45.6","P.S. 090 Horace Mann",856,1,"P.S. 090 Horace Mann",0,1,0,1,0,"5C","751-1000","0.46","1.65","2.77","1.17","0.75","QUEENS",11418,40.697033,-73.839213,9,32,128,4192167,4092040028,"Richmond Hill",NA,NA,NA,NA,2
"2027","27Q096","P.S. 096",2015,125,313,"12.8","44.8","23.2","19.2","42.4","P.S. 096",307,1,"P.S. 096",0,0,0,0,0,"3C","251-500","0.27","1.11","1.38","0.8","0.48","QUEENS",11420,40.674991,-73.808371,10,28,180,4253028,4116940027,"South Ozone Park",NA,NA,NA,NA,0
"2028","27Q097","P.S. 097 FOREST PARK",2015,317,313,"19.9","30.6","28.1","21.5","49.5","P.S. 097 Forest Park",716,1,"P.S. 097 Forest Park",0,0,0,0,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","QUEENS",11421,40.694518,-73.859659,9,32,12,4181565,4088550020,"Woodhaven",NA,NA,NA,NA,0
"2029","27Q100","P.S. 100 GLEN MORRIS",2015,464,317,"15.3","33.8","27.4","23.5","50.9","P.S. 100 Glen Morris",930,1,"P.S. 100 Glen Morris",0,0,1,0,0,"5C","751-1000","0.46","1.65","2.77","1.17","0.75","QUEENS",11420,40.679984,-73.822078,10,28,102,4250416,4116230001,"South Ozone Park",NA,NA,NA,NA,1
"2030","27Q104","P.S. 104 THE BAYS WATER",2015,287,284,"47.7","32.8","13.2","6.3","19.5","P.S. 104 The Bays Water",703,1,"P.S. 104 The Bays Water",0,1,1,1,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","QUEENS",11691,40.608467,-73.764548,14,31,100801,4442313,4156930001,"Far Rockaway-Bayswater",NA,NA,NA,NA,3
"2031","27Q105","P.S. 105 THE BAY SCHOOL",2015,476,282,"57.1","30.9","10.1","1.9","12","P.S. 105 The Bay School",851,1,"P.S. 105 The Bay School",1,1,2,2,0,"5C","751-1000","0.46","1.65","2.77","1.17","0.75","QUEENS",11691,40.595779,-73.781876,14,31,97203,4302397,4159740003,"Hammels-Arverne-Edgemere",NA,NA,NA,NA,6
"2032","27Q106","P.S. 106",2015,93,273,"72","19.4","8.6","0","8.6","P.S. 106",210,1,"P.S. 106",0,2,0,2,0,"2C","1-250","0.36","0.76","1.17","0.64","0.37","QUEENS",11691,40.593779,-73.767199,14,31,992,4441244,4158610035,"Hammels-Arverne-Edgemere",NA,NA,NA,NA,4
"2033","27Q108","P.S. 108 CAPTAIN VINCENT G. FOWLER",2015,634,317,"15.5","31.7","31.4","21.5","52.8","P.S. 108 Captain Vincent G. Fowler",1456,1,"P.S. 108 Captain Vincent G. Fowler",0,0,0,0,0,"7C","1251-1500","0.89","3.22","5.07","2.18","1.64","QUEENS",11420,40.679584,-73.831547,10,28,96,4247572,4114750011,"South Ozone Park",NA,NA,NA,NA,0
"2034","27Q114","P.S. / M.S. 114 BELLE HARBOR",2015,372,320,"13.4","27.7","35.8","23.1","58.9","P.S. / M.S. 114 Belle Harbor",653,1,"P.S. / M.S. 114 Belle Harbor",0,1,2,0,1,"4C","501-750","0.31","1.12","1.82","0.79","0.51","QUEENS",11694,40.578261,-73.854403,14,32,928,4305615,4162570001,"Breezy Point-Belle Harbor-Rockaway Park-Broad Channel",NA,NA,NA,NA,4
"2035","27Q123","P.S. 123",2015,292,296,"33.9","39.4","20.9","5.8","26.7","P.S. 123",688,1,"P.S. 123",0,0,0,0,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","QUEENS",11436,40.678296,-73.79562,12,28,18402,4260828,4120190010,"Baisley Park",NA,NA,NA,NA,0
"2036","27Q124","P.S. 124 OSMOND A CHURCH",2015,858,310,"24.6","34.7","23.1","17.6","40.7","P.S. 124 Osmond A Church",1331,1,"P.S. 124 Osmond A Church",0,1,2,1,0,"7C","1251-1500","0.89","3.22","5.07","2.18","1.64","QUEENS",11420,40.665058,-73.811701,10,28,84602,4257530,4118820001,"South Ozone Park",NA,NA,NA,NA,4
