"","DBN","School Name","Year","NumTested","MeanScaleScore","Level1p","Level2p","Level3p","Level4p","Level34p","LocationName","NumStudents","NumSchools","SchoolsInBuilding","MajorN","OthN","NoCrimN","PropN","VioN","GroupNameOfPop","BuildingPop","AvgMajor","AvgOth","AvgNoCrim","AvgPop","AvgVio","BoroughName","Postcode","Latitude","Longitude","CommunityBoard","CouncilDistrict","Census Tract.x","BIN.x","BBL.x","NTA","GroupNameofPop.y","BuildingPopulation.y","BIN.y","BBL.y","totCrime"
"1","01M015","P.S. 015 ROBERTO CLEMENTE",2014,63,278,"50.8","39.7","6.3","3.2","9.5","P.S. 015 Roberto Clemente",190,1,"P.S. 015 Roberto Clemente",2,1,1,2,1,"2C","1-250","0.43","1.03","1.23","0.99","0.41","MANHATTAN",10009,40.721807,-73.979022,3,2,2601,1004415,1003740020,"Lower East Side",NA,NA,NA,NA,7
"2","01M019","P.S. 019 ASHER LEVY",2014,104,308,"26","31.7","26.9","15.4","42.3","P.S. 019 Asher Levy",285,2,"P.S. 019 Asher Levy |  Technology, Arts, and Sciences Studio |  185 1 AVENUE CONSOLIDATED LOCATION",1,3,1,1,1,"3C","251-500","0.35","1.06","1.09","0.73","0.5","MANHATTAN",10003,40.729636,-73.983818,3,2,40,1006478,1004530034,"East Village","3C","251-500",1006478,1004530034,7
"3","01M020","P.S. 020 ANNA SILVER",2014,233,298,"36.9","28.8","21.5","12.9","34.3","P.S. 020 Anna Silver",631,1,"P.S. 020 Anna Silver",0,2,2,2,0,"4C","501-750","0.33","1.32","1.76","0.83","0.59","MANHATTAN",10002,40.72154,-73.986648,3,1,3001,1004325,1003550001,"Chinatown",NA,NA,NA,NA,6
"4","01M034","P.S. 034 FRANKLIN D. ROOSEVELT",2014,264,298,"33.7","38.6","21.6","6.1","27.7","P.S. 034 Franklin D. Roosevelt",393,1,"P.S. 034 Franklin D. Roosevelt",0,0,1,0,0,"3C","251-500","0.35","1.06","1.09","0.73","0.5","MANHATTAN",10009,40.726473,-73.975181,3,2,28,1004564,1003810038,"Lower East Side",NA,NA,NA,NA,1
"5","01M063","THE STAR ACADEMY - P.S.63",2014,53,301,"26.4","41.5","20.8","11.3","32.1","The STAR Academy - P.S.63",179,2,"The STAR Academy - P.S.63 |  Neighborhood School |  121 EAST  3 STREET CONSOLIDATED LOCATION",0,0,2,0,0,"2C","1-250","0.35","1.06","1.09","0.73","0.5","MANHATTAN",10009,40.724117,-73.986381,3,2,32,1005760,1004310014,"East Village","3C","251-500",1005760,1004310014,2
"6","01M064","P.S. 064 ROBERT SIMON",2014,113,294,"34.5","43.4","19.5","2.7","22.1","P.S. 064 Robert Simon",287,3,"P.S. 064 Robert Simon |  Earth School |  Tompkins Square Middle School |  600 EAST  6 STREET CONSOLIDATED LOCATION",1,3,0,4,0,"3C","251-500","0.52","1.71","2.49","1.16","0.75","MANHATTAN",10009,40.72438,-73.98138,3,2,2601,1004627,1003870001,"Lower East Side","5C","751-1000",1004627,1003870001,8
"7","01M110","P.S. 110 FLORENCE NIGHTINGALE",2014,167,321,"16.8","22.8","27.5","32.9","60.5","P.S. 110 Florence Nightingale",416,1,"P.S. 110 Florence Nightingale",0,0,0,0,0,"3C","251-500","0.35","1.06","1.09","0.73","0.5","MANHATTAN",10002,40.715915,-73.979893,3,1,12,1004066,1003310140,"Lower East Side",NA,NA,NA,NA,0
"8","01M134","P.S. 134 HENRIETTA SZOLD",2014,138,303,"23.2","43.5","23.9","9.4","33.3","P.S. 134 Henrietta Szold",318,2,"P.S. 134 Henrietta Szold |  P.S. 137 John L. Bernstein |  293 EAST BROADWAY CONSOLIDATED LOCATION",0,5,3,4,1,"3C","251-500","0.33","1.32","1.76","0.83","0.59","MANHATTAN",10002,40.71457,-73.983724,3,1,202,1003736,1002880015,"Lower East Side","4C","501-750",1003736,1002880015,13
"9","01M137","P.S. 137 JOHN L. BERNSTEIN",2014,85,271,"63.5","27.1","7.1","2.4","9.4","P.S. 137 John L. Bernstein",202,2,"P.S. 134 Henrietta Szold |  P.S. 137 John L. Bernstein |  293 EAST BROADWAY CONSOLIDATED LOCATION",0,5,3,4,1,"2C","1-250","0.33","1.32","1.76","0.83","0.59","MANHATTAN",10002,40.71457,-73.983724,3,1,202,1003736,1002880015,"Lower East Side","4C","501-750",1003736,1002880015,13
"10","01M140","P.S. 140 NATHAN STRAUS",2014,257,285,"51","33.1","14","1.9","16","P.S. 140 Nathan Straus",393,1,"P.S. 140 Nathan Straus",0,0,1,0,0,"3C","251-500","0.35","1.06","1.09","0.73","0.5","MANHATTAN",10002,40.71925,-73.983056,3,1,2201,1004091,1003440001,"Lower East Side",NA,NA,NA,NA,1
"11","01M142","P.S. 142 AMALIA CASTRO",2014,155,292,"43.2","35.5","16.8","4.5","21.3","P.S. 142 Amalia Castro",384,2,"P.S. 142 Amalia Castro| Manhattan Charter School| 100 ATTORNEY STREET CONSOLIDATED LOCATION",1,0,1,1,0,"3C","251-500","0.35","1.06","1.09","0.73","0.5","MANHATTAN",10002,40.718383,-73.984452,3,1,1402,1004080,1003430001,"Lower East Side","3C","251-500",1004080,1003430001,3
"12","01M184","P.S. 184M SHUANG WEN",2014,375,344,"2.9","13.3","33.1","50.7","83.7","P.S. 184m Shuang Wen",668,1,"P.S. 184m Shuang Wen",1,0,0,0,1,"4C","501-750","0.33","1.32","1.76","0.83","0.59","MANHATTAN",10002,40.711549,-73.986542,3,1,201,1003143,1002450007,"Lower East Side",NA,NA,NA,NA,2
"13","01M188","P.S. 188 THE ISLAND SCHOOL",2014,311,287,"44.1","40.8","11.3","3.9","15.1","P.S. 188 The Island School",501,2,"P.S. 188 The Island School|Girls Preparatory Charter School of New York|442 EAST HOUSTON STREET CONSOLIDATED LOCATION",0,5,4,2,3,"4C","501-750","0.33","1.32","1.76","0.83","0.59","MANHATTAN",10002,40.719598,-73.977904,3,2,20,1004349,1003560100,"Lower East Side","4C","501-750",1004349,1003560100,14
"14","01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",2014,57,260,"77.2","19.3","3.5","0","3.5","Henry Street School for International Studies",320,4,"Henry Street School for International Studies |  University Neighborhood Middle School |  Collaborative Academy of Science, Technology, & La | Manhattan Charter School II  |220 HENRY STREET CONSOLIDATED LOCATION",4,15,9,14,5,"3C","251-500","0.33","1.32","1.76","0.83","0.59","MANHATTAN",10002,40.713684,-73.986336,3,1,201,1003223,1002690041,"Lower East Side","4C","501-750",1003223,1002690041,47
"15","01M301","TECHNOLOGY, ARTS, AND SCIENCES STUDIO",2014,143,277,"64.3","25.9","8.4","1.4","9.8","Technology, Arts, and Sciences Studio",158,2,"P.S. 019 Asher Levy |  Technology, Arts, and Sciences Studio |  185 1 AVENUE CONSOLIDATED LOCATION",1,3,1,1,1,"2C","1-250","0.35","1.06","1.09","0.73","0.5","MANHATTAN",10003,40.729636,-73.983818,3,2,40,1006478,1004530034,"East Village","3C","251-500",1006478,1004530034,7
"16","01M315","THE EAST VILLAGE COMMUNITY SCHOOL",2014,75,323,"24","8","33.3","34.7","68","The East Village Community School",276,2,"The East Village Community School |  The Children's Workshop School |  610 EAST  12 STREET CONSOLIDATED LOCATION",1,1,0,1,1,"3C","251-500","0.33","1.32","1.76","0.83","0.59","MANHATTAN",10009,40.727892,-73.978525,3,2,28,1079053,1003940012,"Lower East Side","4C","501-750",1079053,1003940012,4
"17","01M332","UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL",2014,95,276,"62.1","22.1","13.7","2.1","15.8","University Neighborhood Middle School",100,4,"Henry Street School for International Studies |  University Neighborhood Middle School |  Collaborative Academy of Science, Technology, & La | Manhattan Charter School II  |220 HENRY STREET CONSOLIDATED LOCATION",4,15,9,14,5,"2C","1-250","0.33","1.32","1.76","0.83","0.59","MANHATTAN",10002,40.713684,-73.986336,3,1,201,1003223,1002690041,"Lower East Side","4C","501-750",1003223,1002690041,47
"18","01M345","COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",2014,138,294,"38.4","44.2","13.8","3.6","17.4","Collaborative Academy of Science, Technology, & La",166,4,"Henry Street School for International Studies |  University Neighborhood Middle School |  Collaborative Academy of Science, Technology, & La | Manhattan Charter School II  |220 HENRY STREET CONSOLIDATED LOCATION",4,15,9,14,5,"2C","1-250","0.33","1.32","1.76","0.83","0.59","MANHATTAN",10002,40.713684,-73.986336,3,1,201,1003223,1002690041,"Lower East Side","4C","501-750",1003223,1002690041,47
"19","01M361","THE CHILDREN'S WORKSHOP SCHOOL",2014,105,308,"22.9","30.5","32.4","14.3","46.7","The Children's Workshop School",258,2,"The East Village Community School |  The Children's Workshop School |  610 EAST  12 STREET CONSOLIDATED LOCATION",1,1,0,1,1,"3C","251-500","0.33","1.32","1.76","0.83","0.59","MANHATTAN",10009,40.727892,-73.978525,3,2,28,1079053,1003940012,"Lower East Side","4C","501-750",1079053,1003940012,4
"20","01M363","NEIGHBORHOOD SCHOOL",2014,74,311,"20.3","33.8","29.7","16.2","45.9","Neighborhood School",300,2,"The STAR Academy - P.S.63 |  Neighborhood School |  121 EAST  3 STREET CONSOLIDATED LOCATION",0,0,2,0,0,"3C","251-500","0.35","1.06","1.09","0.73","0.5","MANHATTAN",10009,40.724117,-73.986381,3,2,32,1005760,1004310014,"East Village","3C","251-500",1005760,1004310014,2
"21","01M364","EARTH SCHOOL",2014,70,315,"14.3","32.9","40","12.9","52.9","Earth School",318,3,"P.S. 064 Robert Simon |  Earth School |  Tompkins Square Middle School |  600 EAST  6 STREET CONSOLIDATED LOCATION",1,3,0,4,0,"3C","251-500","0.52","1.71","2.49","1.16","0.75","MANHATTAN",10009,40.72438,-73.98138,3,2,2601,1004627,1003870001,"Lower East Side","5C","751-1000",1004627,1003870001,8
"22","01M378","SCHOOL FOR GLOBAL LEADERS",2014,219,294,"40.2","41.1","12.3","6.4","18.7","School for Global Leaders",244,3,"Marta Valle High School |  Lower East Side Preparatory High School |  145 STANTON STREET CONSOLIDATED LOCATION",0,7,10,3,4,"2C","1-250","0.56","2.4","3.56","1.36","1.05","MANHATTAN",10002,40.720581,-73.985645,3,1,3001,1004323,1003540080,"Chinatown","6C","1001-1250",1004323,1003540080,24
"23","01M450","EAST SIDE COMMUNITY SCHOOL",2014,234,311,"15.8","47","24.4","12.8","37.2","East Side Community School",649,1,"East Side Community School",1,4,0,3,1,"4C","501-750","0.33","1.32","1.76","0.83","0.59","MANHATTAN",10009,40.729589,-73.982555,3,2,34,1005974,1004390017,"East Village",NA,NA,NA,NA,9
"24","01M539","NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",2014,588,359,"0.3","4.6","21.6","73.5","95.1","New Explorations into Science, Technology and Math",1725,1,"New Explorations into Science, Technology and Math",0,3,4,2,1,"8C","1501-1750","0.81","3.95","6.51","2.3","1.78","MANHATTAN",10002,40.718895,-73.979308,3,2,2201,1004070,1003350001,"Lower East Side",NA,NA,NA,NA,10
"25","01M839","TOMPKINS SQUARE MIDDLE SCHOOL",2014,337,316,"18.7","32.3","28.8","20.2","49","Tompkins Square Middle School",377,3,"P.S. 064 Robert Simon |  Earth School |  Tompkins Square Middle School |  600 EAST  6 STREET CONSOLIDATED LOCATION",1,3,0,4,0,"3C","251-500","0.52","1.71","2.49","1.16","0.75","MANHATTAN",10009,40.72438,-73.98138,3,2,2601,1004627,1003870001,"Lower East Side","5C","751-1000",1004627,1003870001,8
"26","02M001","P.S. 001 ALFRED E. SMITH",2014,211,318,"19.4","19.9","31.8","28.9","60.7","P.S. 001 Alfred E. Smith",496,1,"P.S. 001 Alfred E. Smith",1,0,0,1,0,"3C","251-500","0.35","1.06","1.09","0.73","0.5","MANHATTAN",10038,40.71276,-73.997489,3,1,27,1003375,1002790040,"Chinatown",NA,NA,NA,NA,2
"27","02M002","P.S. 002 MEYER LONDON",2014,374,327,"12","19","35.8","33.2","69","P.S. 002 Meyer London",822,1,"P.S. 002 Meyer London",0,1,1,1,0,"5C","751-1000","0.52","1.71","2.49","1.16","0.75","MANHATTAN",10002,40.713273,-73.991339,3,1,6,1003248,1002730001,"Lower East Side",NA,NA,NA,NA,3
"28","02M003","P.S. 003 CHARRETTE SCHOOL",2014,328,329,"7.9","20.4","36.6","35.1","71.6","P.S. 003 Charrette School",808,1,"P.S. 003 Charrette School",0,2,0,2,0,"5C","751-1000","0.52","1.71","2.49","1.16","0.75","MANHATTAN",10014,40.732593,-74.006466,2,3,73,1009872,1005850041,"West Village",NA,NA,NA,NA,4
"29","02M006","P.S. 006 LILLIE D. BLAKE",2014,354,341,"2.8","15.3","33.1","48.9","81.9","P.S. 006 Lillie D. Blake",751,1,"P.S. 006 Lillie D. Blake",0,0,0,0,0,"5C","751-1000","0.52","1.71","2.49","1.16","0.75","MANHATTAN",10028,40.777455,-73.960713,8,4,142,1046668,1014930021,"Upper East Side-Carnegie Hill",NA,NA,NA,NA,0
"30","02M011","P.S. 011 WILLIAM T. HARRIS",2014,335,325,"13.4","21.2","34","31.3","65.4","P.S. 011 William T. Harris",820,1,"P.S. 011 William T. Harris",0,1,0,1,0,"5C","751-1000","0.52","1.71","2.49","1.16","0.75","MANHATTAN",10011,40.744349,-74.000253,4,3,89,1013260,1007440024,"Hudson Yards-Chelsea-Flatiron-Union Square",NA,NA,NA,NA,2
"31","02M033","P.S. 033 CHELSEA PREP",2014,233,327,"14.2","21.9","25.3","38.6","63.9","P.S. 033 Chelsea Prep",576,1,"P.S. 033 Chelsea Prep",0,0,0,0,0,"4C","501-750","0.33","1.32","1.76","0.83","0.59","MANHATTAN",10001,40.748818,-73.999646,4,3,97,1012829,1007240023,"Hudson Yards-Chelsea-Flatiron-Union Square",NA,NA,NA,NA,0
"32","02M040","P.S. 040 AUGUSTUS SAINT-GAUDENS",2014,266,337,"4.9","14.7","38.7","41.7","80.5","P.S. 040 Augustus Saint-Gaudens",594,2,"P.S. 040 Augustus Saint-Gaudens |  M.S. 255 Salk School of Science |  319 EAST 19 STREET CONSOLIDATED LOCATION",1,1,2,2,0,"4C","501-750","0.52","1.71","2.49","1.16","0.75","MANHATTAN",10003,40.735161,-73.982027,6,2,64,1020513,1009250012,"Gramercy","5C","751-1000",1020513,1009250012,6
"33","02M041","P.S. 041 GREENWICH VILLAGE",2014,381,341,"3.4","15.5","33.1","48","81.1","P.S. 041 Greenwich Village",791,1,"P.S. 041 Greenwich Village",0,0,0,0,0,"5C","751-1000","0.52","1.71","2.49","1.16","0.75","MANHATTAN",10011,40.735692,-73.999026,2,3,71,1010543,1006060049,"West Village",NA,NA,NA,NA,0
"34","02M042","P.S. 042 BENJAMIN ALTMAN",2014,358,344,"3.6","14","27.9","54.5","82.4","P.S. 042 Benjamin Altman",792,1,"P.S. 042 Benjamin Altman",0,0,0,0,0,"5C","751-1000","0.52","1.71","2.49","1.16","0.75","MANHATTAN",10002,40.715905,-73.990895,3,1,16,1003998,1003090001,"Chinatown",NA,NA,NA,NA,0
"35","02M051","P.S. 051 ELIAS HOWE",2014,143,308,"25.2","36.4","21.7","16.8","38.5","P.S. 051 Elias Howe",304,1,"P.S. 051 Elias Howe",0,1,0,1,0,"3C","251-500","0.35","1.06","1.09","0.73","0.5","MANHATTAN",10036,40.761479,-73.995823,4,3,129,1089418,1010730014,"Clinton",NA,NA,NA,NA,2
"36","02M059","P.S. 059 BEEKMAN HILL INTERNATIONAL",2014,276,338,"4.3","12.7","35.9","47.1","83","P.S. 059 Beekman Hill International",598,2,"P.S. 059 Beekman Hill International |  Art and Design High School |  231-249 EAST 56 STREET CONSOLIDATED LOCATION",0,6,7,3,3,"4C","501-750","2.39","7.89","13.67","5.22","3.94","MANHATTAN",10022,40.75924,-73.967203,6,4,108,1088892,1013300013,"Turtle Bay-East Midtown","10C","2001-2500",1088892,1013300013,19
"37","02M077","P.S. 77 LOWER LAB SCHOOL",2014,175,355,"4","2.3","21.7","72","93.7","P.S. 77 Lower Lab School",348,2,"P.S. 77 Lower Lab School |  P.S. 198 Isador E. Ida Straus |  1700 3 AVENUE CONSOLIDATED LOCATION",2,1,0,2,1,"3C","251-500","0.52","1.71","2.49","1.16","0.75","MANHATTAN",10128,40.784826,-73.949611,8,5,15801,1048492,1015240023,"Upper East Side-Carnegie Hill","5C","751-1000",1048492,1015240023,6
"38","02M089","P.S. 89",2014,172,334,"3.5","24.4","30.2","41.9","72.1","P.S. 89",472,2,"P.S. 89 |  I.S. 289 |  201 WARREN STREET CONSOLIDATED LOCATION",0,0,0,0,0,"3C","251-500","0.52","1.71","2.49","1.16","0.75","MANHATTAN",10282,40.716668,-74.013542,1,1,31703,1085568,1000160220,"Battery Park City-Lower Manhattan","5C","751-1000",1085568,1000160220,0
"39","02M104","J.H.S. 104 SIMON BARUCH",2014,919,323,"14.5","26.2","30.5","28.8","59.3","J.H.S. 104 Simon Baruch",1034,1,"J.H.S. 104 Simon Baruch",1,3,3,2,2,"6C","1001-1250","0.56","2.4","3.56","1.36","1.05","MANHATTAN",10010,40.736094,-73.980663,6,2,64,1081671,1009260001,"Gramercy",NA,NA,NA,NA,11
"40","02M111","P.S. 111 ADOLPH S. OCHS",2014,320,293,"42.2","32.5","18.8","6.6","25.3","P.S. 111 Adolph S. Ochs",533,1,"P.S. 111 Adolph S. Ochs",1,1,0,2,0,"4C","501-750","0.33","1.32","1.76","0.83","0.59","MANHATTAN",10019,40.765878,-73.988823,4,3,133,1026740,1010620003,"Clinton",NA,NA,NA,NA,4
"41","02M114","EAST SIDE MIDDLE SCHOOL",2014,434,354,"0.9","7.4","25.1","66.6","91.7","East Side Middle School",443,1,"East Side Middle School",0,0,0,0,0,"3C","251-500","0.35","1.06","1.09","0.73","0.5","MANHATTAN",10128,40.780706,-73.948553,8,5,154,1081267,1015540032,"Yorkville",NA,NA,NA,NA,0
"42","02M116","P.S. 116 MARY LINDLEY MURRAY",2014,345,329,"7.8","20.9","35.9","35.4","71.3","P.S. 116 Mary Lindley Murray",724,1,"P.S. 116 Mary Lindley Murray",0,0,1,0,0,"4C","501-750","0.33","1.32","1.76","0.83","0.59","MANHATTAN",10016,40.744838,-73.978116,6,2,70,1020080,1009130007,"Murray Hill-Kips Bay",NA,NA,NA,NA,1
"43","02M124","P.S. 124 YUNG WING",2014,420,338,"4","15.5","33.8","46.7","80.5","P.S. 124 Yung Wing",866,1,"P.S. 124 Yung Wing",0,0,0,0,0,"5C","751-1000","0.52","1.71","2.49","1.16","0.75","MANHATTAN",10002,40.714201,-73.995087,3,1,16,1075787,1002890001,"Chinatown",NA,NA,NA,NA,0
"44","02M126","P.S. 126 JACOB AUGUST RIIS",2014,424,325,"14.4","21.9","26.7","37","63.7","P.S. 126 Jacob August Riis",841,2,"P.S. 126 Jacob August Riis |Jacob Riis School |80 CATHERINE STREET CONSOLIDATED LOCATION",0,0,1,0,0,"5C","751-1000","0.52","1.71","2.49","1.16","0.75","MANHATTAN",10038,40.710729,-73.996631,3,1,25,1083357,1001110160,"Chinatown","5C","751-1000",1083357,1001110160,1
"45","02M130","P.S. 130 HERNANDO DE SOTO",2014,431,339,"5.1","14.2","33.2","47.6","80.7","P.S. 130 Hernando De Soto",999,1,"P.S. 130 Hernando De Soto",0,0,0,0,0,"5C","751-1000","0.52","1.71","2.49","1.16","0.75","MANHATTAN",10013,40.718903,-73.998438,2,1,41,1003086,1002360038,"SoHo-TriBeCa-Civic Center-Little Italy",NA,NA,NA,NA,0
"46","02M131","M.S. 131",2014,414,317,"17.9","30.4","32.1","19.6","51.7","M.S. 131",445,3,"M.S. 131 |  Pace High School |  EMMA LAZARUS HIGH SCHOOL |  100 HESTER STREET CONSOLIDATED LOCATION",1,2,3,3,0,"3C","251-500","0.56","2.4","3.56","1.36","1.05","MANHATTAN",10002,40.716553,-73.993092,3,1,16,1082489,1003010003,"Chinatown","6C","1001-1250",1082489,1003010003,9
"47","02M150","P.S. 150",2014,79,324,"8.9","25.3","38","27.8","65.8","P.S. 150",184,1,"P.S. 150",0,1,0,1,0,"2C","1-250","0.43","1.03","1.23","0.99","0.41","MANHATTAN",10013,40.718219,-74.010519,1,1,39,1083240,1001420025,"SoHo-TriBeCa-Civic Center-Little Italy",NA,NA,NA,NA,2
"48","02M151","YORKVILLE COMMUNITY SCHOOL",2014,151,315,"20.5","25.2","28.5","25.8","54.3","Yorkville Community School",485,1,"Yorkville Community School",0,0,0,0,0,"3C","251-500","0.35","1.06","1.09","0.73","0.5","MANHATTAN",10128,40.777911,-73.947757,8,5,14402,1050618,1015680008,"Yorkville",NA,NA,NA,NA,0
"49","02M158","P.S. 158 BAYARD TAYLOR",2014,328,339,"4","14","33.5","48.5","82","P.S. 158 Bayard Taylor",747,1,"P.S. 158 Bayard Taylor",0,0,0,0,0,"4C","501-750","0.33","1.32","1.76","0.83","0.59","MANHATTAN",10075,40.770419,-73.951135,8,5,132,1046411,1014890001,"Lenox Hill-Roosevelt Island",NA,NA,NA,NA,0
"50","02M167","J.H.S. 167 ROBERT F. WAGNER",2014,1292,327,"12.7","28.5","27","31.8","58.8","J.H.S. 167 Robert F. Wagner",1345,1,"J.H.S. 167 Robert F. Wagner",2,5,1,5,2,"7C","1251-1500","0.86","3.26","5.55","2.17","1.29","MANHATTAN",10021,40.77205,-73.958066,8,4,134,1044058,1014300005,"Lenox Hill-Roosevelt Island",NA,NA,NA,NA,15
"51","02M183","P.S. 183 ROBERT L. STEVENSON",2014,298,329,"9.7","21.8","27.2","41.3","68.5","P.S. 183 Robert L. Stevenson",606,1,"P.S. 183 Robert L. Stevenson",1,1,0,2,0,"4C","501-750","0.33","1.32","1.76","0.83","0.59","MANHATTAN",10065,40.763736,-73.95815,8,5,116,1045569,1014610007,"Lenox Hill-Roosevelt Island",NA,NA,NA,NA,4
"52","02M198","P.S. 198 ISADOR E. IDA STRAUS",2014,230,305,"31.7","27.8","20.9","19.6","40.4","P.S. 198 Isador E. Ida Straus",495,2,"P.S. 77 Lower Lab School |  P.S. 198 Isador E. Ida Straus |  1700 3 AVENUE CONSOLIDATED LOCATION",2,1,0,2,1,"3C","251-500","0.52","1.71","2.49","1.16","0.75","MANHATTAN",10128,40.784826,-73.949611,8,5,15801,1048492,1015240023,"Upper East Side-Carnegie Hill","5C","751-1000",1048492,1015240023,6
"53","02M212","P.S. 212 MIDTOWN WEST",2014,162,336,"4.3","17.3","34.6","43.8","78.4","P.S. 212 Midtown West",343,2,"P.S. 212 Midtown West |  Professional Performing Arts High School |  328 WEST  48 STREET CONSOLIDATED LOCATION",1,0,3,1,0,"3C","251-500","0.52","1.71","2.49","1.16","0.75","MANHATTAN",10036,40.761448,-73.988019,4,3,127,1025092,1010380014,"Clinton","5C","751-1000",1025092,1010380014,5
"54","02M217","P.S./I.S. 217 ROOSEVELT ISLAND",2014,214,313,"23.8","27.6","26.2","22.4","48.6","P.S./I.S. 217 Roosevelt Island",518,1,"P.S./I.S. 217 Roosevelt Island",0,0,1,0,0,"4C","501-750","0.33","1.32","1.76","0.83","0.59","MANHATTAN",10044,40.763894,-73.947916,8,5,23802,1084848,1013730001,"Lenox Hill-Roosevelt Island",NA,NA,NA,NA,1
"55","02M225","ELLA BAKER SCHOOL",2014,89,315,"11.2","43.8","31.5","13.5","44.9","Ella Baker School",319,5,"Ella Baker School |  Vanguard High School |  Manhattan International High School |  Talent Unlimited High School |  Urban Academy Laboratory High School |  317 EAST  67 STREET CONSOLIDATED LOCATION",1,6,3,5,2,"3C","251-500","0.81","5.43","8.48","3.24","2.33","MANHATTAN",10065,40.765359,-73.960059,8,5,118,1083343,1014420001,"Lenox Hill-Roosevelt Island","9C","1751-2000",1083343,1014420001,17
"56","02M234","P.S. 234 INDEPENDENCE SCHOOL",2014,407,332,"7.9","17.7","33.9","40.5","74.4","P.S. 234 Independence School",785,1,"P.S. 234 Independence School",1,0,0,1,0,"5C","751-1000","0.52","1.71","2.49","1.16","0.75","MANHATTAN",10007,40.71602,-74.011035,1,1,21,1001533,1001420001,"SoHo-TriBeCa-Civic Center-Little Italy",NA,NA,NA,NA,2
"57","02M255","M.S. 255 SALK SCHOOL OF SCIENCE",2014,248,345,"5.2","7.3","29.4","58.1","87.5","M.S. 255 Salk School of Science",378,2,"P.S. 040 Augustus Saint-Gaudens |  M.S. 255 Salk School of Science |  319 EAST 19 STREET CONSOLIDATED LOCATION",1,1,2,2,0,"3C","251-500","0.52","1.71","2.49","1.16","0.75","MANHATTAN",10003,40.735161,-73.982027,6,2,64,1020513,1009250012,"Gramercy","5C","751-1000",1020513,1009250012,6
"58","02M260","M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS",2014,251,330,"9.2","22.3","33.5","35.1","68.5","M.S. 260 Clinton School Writers & Artists",266,1,"M.S. 260 Clinton School Writers & Artists",0,0,0,0,0,"3C","251-500","0.35","1.06","1.09","0.73","0.5","MANHATTAN",10001,40.753091,-73.99764,4,3,103,1012851,1007310054,"Hudson Yards-Chelsea-Flatiron-Union Square",NA,NA,NA,NA,0
"59","02M267","EAST SIDE ELEMENTARY SCHOOL, PS 267",2014,24,320,"0","45.8","29.2","25","54.2","East Side Elementary School, PS 267",261,1,"East Side Elementary School, PS 267",0,0,0,0,0,"3C","251-500","0.35","1.06","1.09","0.73","0.5","MANHATTAN",10065,40.763842,-73.964222,8,4,110,1087680,1014180007,"Lenox Hill-Roosevelt Island",NA,NA,NA,NA,0
"60","02M276","BATTERY PARK CITY SCHOOL",2014,474,326,"8","25.9","38","28.1","66","BATTERY PARK CITY SCHOOL",875,2,"P.S. M094 |  BATTERY PARK CITY SCHOOL |  55 BATTERY PLACE CONSOLIDATED LOCATION",0,1,0,1,0,"5C","751-1000","0.56","2.4","3.56","1.36","1.05","MANHATTAN",10280,40.70644,-74.017818,1,1,31704,1087945,1000160040,"Battery Park City-Lower Manhattan","6C","1001-1250",1087945,1000160040,2
"61","02M289","I.S. 289",2014,279,326,"9","26.5","38.7","25.8","64.5","I.S. 289",293,2,"P.S. 89 |  I.S. 289 |  201 WARREN STREET CONSOLIDATED LOCATION",0,0,0,0,0,"3C","251-500","0.52","1.71","2.49","1.16","0.75","MANHATTAN",10282,40.716668,-74.013542,1,1,31703,1085568,1000160220,"Battery Park City-Lower Manhattan","5C","751-1000",1085568,1000160220,0
"62","02M290","P.S. 290 MANHATTAN NEW SCHOOL",2014,351,337,"3.4","17.9","35.3","43.3","78.6","P.S. 290 Manhattan New School",675,1,"P.S. 290 Manhattan New School",0,0,0,0,0,"4C","501-750","0.33","1.32","1.76","0.83","0.59","MANHATTAN",10028,40.775078,-73.953096,8,5,138,1049876,1015450005,"Yorkville",NA,NA,NA,NA,0
"63","02M312","NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES",2014,444,352,"2.9","7.4","22.7","66.9","89.6","New York City Lab Middle School for Collaborative",573,3,"New York City Lab Middle School for Collaborative |  N.Y.C. Lab School for Collaborative Studies |  N.Y.C. Museum School |  333 WEST  17 STREET CONSOLIDATED LOCATION",1,4,1,5,0,"4C","501-750","0.81","3.95","6.51","2.3","1.78","MANHATTAN",10011,40.742129,-74.002198,4,3,83,1079152,1007410010,"Hudson Yards-Chelsea-Flatiron-Union Square","8C","1501-1750",1079152,1007410010,11
"64","02M347","THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL",2014,37,293,"40.5","37.8","16.2","5.4","21.6","The 47 American Sign Language & English Lower Scho",214,2,"47 The American Sign Language and English Secondar |  The 47 American Sign Language & English Lower Scho |  223 EAST 23 STREET CONSOLIDATED LOCATION",0,0,2,0,0,"2C","1-250","0.35","1.06","1.09","0.73","0.5","MANHATTAN",10010,40.738548,-73.982455,6,2,64,NA,NA,"Gramercy","3C","251-500",NA,NA,2
